accuracy	0.834893	0.840200	0.834672	0.841527	0.843149	0.844844	0.843001	0.839758	0.842043	0.840864	0.839537	0.840643	0.840938	0.837547	0.839537	0.842117	0.843517	0.841675	0.841822	0.841527	0.843517	0.838137	0.836810	0.838579	0.836147	0.839906	0.844402	0.841675	0.845950	0.838358	0.845876	0.842412	0.840200	0.841454	0.842780	0.840274	0.839169	0.843001	0.841748	0.842338	0.840422	0.837621	0.844697	0.842264	0.844254	0.841896	0.845139	0.839979	0.840274	0.838947	0.841041	0.002597
recall	0.723753	0.730738	0.720867	0.731987	0.734539	0.734650	0.731936	0.727445	0.730970	0.725264	0.726052	0.728812	0.731126	0.725871	0.725045	0.728221	0.731345	0.726803	0.730066	0.730646	0.728357	0.723290	0.722059	0.721354	0.724571	0.728651	0.733314	0.729486	0.737083	0.727567	0.731520	0.728628	0.724031	0.729963	0.733779	0.724224	0.720746	0.738301	0.728552	0.726007	0.729943	0.725113	0.731875	0.731145	0.736746	0.729326	0.732459	0.725891	0.726239	0.725606	0.728639	0.004150
precision	0.806880	0.811148	0.810416	0.813052	0.813321	0.818019	0.815521	0.815735	0.811422	0.813192	0.816313	0.815596	0.815619	0.806844	0.813141	0.816736	0.817791	0.817657	0.813182	0.811880	0.819830	0.810528	0.804065	0.809082	0.808387	0.815688	0.813774	0.814700	0.820228	0.812918	0.821143	0.813304	0.810529	0.809134	0.810589	0.820065	0.815174	0.818123	0.813787	0.818614	0.810153	0.808169	0.818520	0.813990	0.811308	0.810670	0.822884	0.817322	0.817686	0.819095	0.814058	0.004101
f1score	0.749964	0.757051	0.748084	0.758561	0.760842	0.762011	0.759153	0.755091	0.757521	0.753058	0.754002	0.756313	0.758235	0.752039	0.752681	0.756230	0.759139	0.755150	0.757084	0.757279	0.757043	0.750623	0.748375	0.748860	0.751051	0.756090	0.760114	0.756858	0.764491	0.754539	0.760180	0.756025	0.751519	0.756224	0.759678	0.753151	0.749365	0.764680	0.755957	0.754742	0.756266	0.751659	0.759856	0.758151	0.762309	0.756053	0.761121	0.754090	0.754477	0.753949	0.755940	0.003968
mcc	0.524081	0.535886	0.523682	0.538977	0.542166	0.546345	0.541039	0.535956	0.536392	0.531228	0.534802	0.537446	0.540177	0.526525	0.530927	0.537720	0.542289	0.536826	0.536852	0.536409	0.540501	0.526641	0.519694	0.523131	0.526326	0.537336	0.541139	0.537473	0.551074	0.533704	0.545348	0.535276	0.527515	0.533252	0.538922	0.535784	0.527535	0.550668	0.535600	0.536690	0.534107	0.526774	0.543532	0.538803	0.542959	0.533835	0.547931	0.535463	0.536182	0.536617	0.535911	0.006906
spd	0.125555	0.121772	0.127559	0.120774	0.133864	0.130127	0.121242	0.109833	0.123200	0.124112	0.126256	0.125799	0.124990	0.119209	0.122002	0.116801	0.122661	0.113137	0.130241	0.124367	0.120482	0.123022	0.117526	0.112785	0.122183	0.122813	0.125285	0.114649	0.122261	0.126246	0.113193	0.121785	0.114627	0.130526	0.125138	0.120060	0.101963	0.127202	0.117655	0.122146	0.128087	0.123278	0.120172	0.126973	0.128323	0.121188	0.121983	0.115502	0.112465	0.115058	0.121562	0.005953
aod	0.027282	0.026216	0.029920	0.030965	0.031917	0.032832	0.034506	0.023077	0.031001	0.027164	0.029600	0.026925	0.027559	0.042426	0.025285	0.020076	0.026352	0.026935	0.023893	0.022109	0.039527	0.021590	0.020841	0.025253	0.022468	0.022399	0.023938	0.040442	0.036327	0.022968	0.049873	0.022115	0.051170	0.033613	0.028313	0.022634	0.021026	0.030014	0.022606	0.026940	0.019394	0.028489	0.029137	0.023389	0.022521	0.032356	0.019839	0.037746	0.043464	0.023043	0.028590	0.007452
eod	0.010549	0.012238	0.016819	0.020906	0.016529	0.025295	0.027347	0.015890	0.018477	0.011778	0.017227	0.011673	0.022453	0.038609	0.007691	0.004442	0.010074	0.019372	0.003665	0.000287	0.050217	0.000293	0.005410	0.012440	0.005756	0.009696	0.002654	0.045672	0.033418	0.005655	0.065640	0.000998	0.065632	0.024826	0.016394	0.006115	0.017176	0.019045	0.005721	0.011939	0.000460	0.016630	0.019118	0.006585	0.004111	0.022189	0.003913	0.035534	0.050408	0.013578	0.017771	0.015638
