accuracy	0.776667	0.770000	0.756667	0.753333	0.750000	0.763333	0.726667	0.800000	0.780000	0.780000	0.770000	0.736667	0.723333	0.740000	0.726667	0.766667	0.766667	0.736667	0.756667	0.743333	0.710000	0.760000	0.793333	0.766667	0.730000	0.740000	0.783333	0.736667	0.770000	0.763333	0.733333	0.753333	0.796667	0.743333	0.723333	0.776667	0.780000	0.756667	0.736667	0.736667	0.743333	0.770000	0.760000	0.746667	0.763333	0.773333	0.750000	0.773333	0.743333	0.760000	0.755933	0.020301
recall	0.683493	0.644045	0.664631	0.657182	0.648393	0.643153	0.634370	0.683194	0.687302	0.654621	0.668554	0.641594	0.615933	0.620196	0.622549	0.665029	0.665029	0.634302	0.663909	0.625308	0.633681	0.640602	0.687299	0.665255	0.611309	0.609519	0.674008	0.621773	0.681809	0.671903	0.636492	0.652888	0.691468	0.651220	0.628370	0.663345	0.668286	0.645503	0.638246	0.619682	0.629391	0.668043	0.654030	0.622222	0.653149	0.681677	0.640459	0.689858	0.621876	0.678043	0.651084	0.023086
precision	0.731635	0.739888	0.754032	0.692385	0.741567	0.701512	0.721685	0.777479	0.752209	0.736563	0.784064	0.714117	0.700000	0.651505	0.692000	0.744882	0.744882	0.690724	0.738219	0.677574	0.700130	0.719115	0.746568	0.756000	0.685621	0.683649	0.722336	0.691468	0.811664	0.759950	0.709522	0.734467	0.765373	0.709818	0.681503	0.728133	0.753557	0.695918	0.765373	0.704545	0.666992	0.727898	0.730687	0.713178	0.720068	0.757465	0.691837	0.762923	0.682373	0.724386	0.723789	0.032760
f1score	0.698157	0.659310	0.676986	0.668142	0.658962	0.657066	0.638745	0.705401	0.704018	0.672272	0.683249	0.650437	0.618981	0.629184	0.628870	0.680190	0.680190	0.644096	0.676986	0.635825	0.636364	0.654090	0.705248	0.680190	0.616907	0.617021	0.689367	0.630144	0.694686	0.685836	0.644444	0.665078	0.711498	0.662236	0.635917	0.679809	0.686232	0.658234	0.640773	0.626366	0.639507	0.683249	0.667876	0.630925	0.667598	0.697778	0.652343	0.705475	0.632019	0.690704	0.663100	0.026754
mcc	0.412326	0.371777	0.409007	0.347790	0.378665	0.339688	0.345183	0.450921	0.434691	0.382505	0.437631	0.348239	0.304542	0.269891	0.306786	0.402058	0.402058	0.320091	0.395203	0.298338	0.327130	0.351045	0.429800	0.411365	0.287480	0.283641	0.393386	0.305389	0.476082	0.422782	0.338220	0.378668	0.450824	0.356250	0.305284	0.386079	0.413134	0.337678	0.383076	0.312924	0.293988	0.391390	0.377003	0.322832	0.367169	0.432553	0.328299	0.446847	0.298173	0.399752	0.367313	0.051929
spd	0.086146	0.038379	0.025134	0.075942	0.053019	0.046788	0.061357	0.060465	0.001570	0.163124	0.090590	0.095000	0.003663	0.115332	0.017972	0.007189	0.017822	0.146958	0.017768	0.030518	0.090000	0.115995	0.141549	0.072299	0.004104	0.035838	0.062500	0.009804	0.170396	0.016983	0.029297	0.002077	0.027383	0.018178	0.014286	0.060820	0.087482	0.064799	0.033361	0.080768	0.112449	0.125000	0.000643	0.056553	0.091185	0.147950	0.069007	0.053899	0.154803	0.107301	0.064229	0.047694
aod	0.050511	0.066581	0.051086	0.051137	0.056163	0.039014	0.058603	0.042231	0.044694	0.134183	0.034774	0.080305	0.026254	0.143947	0.070745	0.040353	0.033617	0.123778	0.106487	0.049550	0.061582	0.093754	0.089838	0.083835	0.017053	0.008608	0.062071	0.025225	0.147850	0.071992	0.042263	0.041460	0.060494	0.028398	0.057268	0.059212	0.080320	0.032929	0.030461	0.072412	0.123717	0.177453	0.034905	0.054238	0.039901	0.154859	0.035880	0.038623	0.181428	0.094122	0.068123	0.041265
eod	0.013733	0.014935	0.018206	0.038215	0.086845	0.022725	0.014830	0.020175	0.029672	0.140351	0.050794	0.082654	0.023266	0.050654	0.052601	0.031081	0.017610	0.106203	0.046982	0.051309	0.066277	0.048218	0.101898	0.047245	0.032051	0.005778	0.003846	0.029021	0.071684	0.036090	0.031800	0.016253	0.054712	0.047372	0.053612	0.029116	0.062395	0.004634	0.008078	0.019093	0.068863	0.037363	0.011412	0.025143	0.055370	0.071212	0.035880	0.053208	0.098575	0.108503	0.044951	0.030344
