accuracy	0.900623	0.898983	0.899202	0.896469	0.900951	0.898765	0.902482	0.901170	0.899639	0.897890	0.898874	0.903138	0.893736	0.902482	0.895485	0.896469	0.899311	0.900077	0.897890	0.898218	0.897015	0.895704	0.897453	0.894501	0.897999	0.899202	0.897234	0.897999	0.900077	0.898218	0.900514	0.906199	0.895922	0.900186	0.898655	0.897890	0.900623	0.899639	0.897015	0.902372	0.899202	0.900951	0.900295	0.903466	0.900514	0.900951	0.899421	0.899202	0.897343	0.897562	0.899104	0.002347
recall	0.691700	0.686527	0.688824	0.684209	0.680364	0.685119	0.693223	0.697176	0.686231	0.682596	0.687259	0.690536	0.685077	0.685433	0.680533	0.681791	0.688210	0.685197	0.680850	0.685676	0.676126	0.677415	0.678338	0.686312	0.681756	0.676275	0.676763	0.678432	0.686506	0.690367	0.686149	0.692207	0.690101	0.698326	0.690039	0.671505	0.683656	0.690387	0.686569	0.687502	0.681881	0.683540	0.690871	0.697227	0.691530	0.694081	0.684969	0.683295	0.683793	0.674162	0.685532	0.005908
precision	0.790110	0.795889	0.794594	0.791813	0.792829	0.785345	0.804618	0.799691	0.792893	0.804683	0.797174	0.805005	0.780599	0.792697	0.774097	0.786482	0.787165	0.789931	0.783225	0.786911	0.789699	0.794164	0.782311	0.789870	0.798366	0.793438	0.785793	0.776637	0.791136	0.790711	0.794147	0.796774	0.785162	0.793983	0.787958	0.801639	0.790674	0.794031	0.779813	0.804151	0.793080	0.790795	0.802332	0.801248	0.791102	0.797155	0.787704	0.790073	0.787021	0.792342	0.791781	0.006990
f1score	0.726554	0.723500	0.725147	0.720475	0.717791	0.719960	0.731281	0.733292	0.722648	0.721833	0.724383	0.729173	0.718487	0.722152	0.713378	0.717292	0.722944	0.721160	0.715892	0.720740	0.713179	0.715066	0.713559	0.721659	0.719872	0.714241	0.712948	0.712408	0.722516	0.725455	0.722922	0.728926	0.723775	0.732761	0.724571	0.711385	0.720083	0.726339	0.719716	0.726363	0.718994	0.720037	0.728643	0.733864	0.726647	0.730172	0.720423	0.719542	0.719146	0.712030	0.721706	0.005758
mcc	0.471652	0.469857	0.471705	0.463701	0.459634	0.459664	0.485218	0.486177	0.467100	0.471736	0.471798	0.482139	0.455774	0.465943	0.444898	0.456420	0.464961	0.463441	0.452642	0.461617	0.451768	0.456899	0.448762	0.464784	0.465746	0.454867	0.449522	0.444346	0.466041	0.470497	0.467996	0.477669	0.465660	0.482927	0.467860	0.454896	0.462100	0.473200	0.456966	0.477615	0.461761	0.462050	0.480444	0.487500	0.472249	0.480301	0.461373	0.461168	0.459359	0.451287	0.465274	0.010630
spd	0.093972	0.100137	0.082123	0.075918	0.081815	0.083204	0.069724	0.106401	0.080360	0.063612	0.061889	0.061581	0.056122	0.075999	0.084054	0.071855	0.103985	0.058276	0.128175	0.074008	0.084055	0.052360	0.100888	0.067518	0.041076	0.078829	0.073326	0.025170	0.118218	0.062275	0.086442	0.054045	0.077141	0.066531	0.091697	0.053556	0.043254	0.063988	0.083945	0.065604	0.057351	0.099327	0.032189	0.077817	0.060790	0.048268	0.086936	0.038838	0.093818	0.059173	0.073153	0.021122
aod	0.103144	0.083962	0.066295	0.065045	0.057698	0.049063	0.049606	0.066043	0.068070	0.042641	0.028845	0.038748	0.038368	0.036370	0.069322	0.081506	0.111114	0.034219	0.122981	0.068312	0.106895	0.034187	0.096760	0.045243	0.029667	0.063031	0.075323	0.024620	0.090956	0.037623	0.055131	0.056836	0.070838	0.059568	0.065364	0.033752	0.018677	0.014930	0.043891	0.009087	0.026962	0.113370	0.048530	0.043839	0.020190	0.033055	0.055612	0.013522	0.077383	0.015020	0.055224	0.028009
eod	0.159759	0.138236	0.097660	0.098149	0.083208	0.073242	0.071481	0.064375	0.093668	0.071692	0.034583	0.056951	0.069284	0.057710	0.111830	0.151567	0.180979	0.049397	0.173230	0.102727	0.182461	0.039298	0.154855	0.084744	0.049428	0.089516	0.133178	0.044743	0.148977	0.057041	0.105778	0.091739	0.110881	0.103691	0.094123	0.056600	0.037208	0.005504	0.010360	0.000935	0.043940	0.193394	0.079749	0.064038	0.034991	0.058182	0.055785	0.023880	0.107240	0.006227	0.084164	0.048245
