accuracy	0.634252	0.649919	0.638574	0.640194	0.647218	0.623447	0.644516	0.648298	0.628309	0.640735	0.647758	0.649379	0.650459	0.657482	0.652620	0.623447	0.652080	0.662885	0.649379	0.650459	0.647758	0.659103	0.656942	0.645057	0.631010	0.644516	0.628309	0.653160	0.658023	0.631010	0.647758	0.641275	0.642355	0.636413	0.639654	0.633171	0.645597	0.642896	0.627769	0.649919	0.642896	0.648298	0.628309	0.652080	0.645057	0.648838	0.648298	0.654781	0.641815	0.624527	0.643760	0.009803
recall	0.628083	0.643982	0.626014	0.629354	0.638439	0.615247	0.636125	0.632196	0.619246	0.631849	0.635867	0.639556	0.640987	0.645277	0.639829	0.615118	0.643420	0.652996	0.642730	0.641895	0.631338	0.647738	0.644868	0.635850	0.619387	0.635617	0.616782	0.644037	0.646934	0.619541	0.639009	0.631055	0.631705	0.627412	0.627935	0.622657	0.632020	0.630408	0.618468	0.635925	0.633088	0.635786	0.615763	0.644533	0.638189	0.638586	0.634361	0.647164	0.632169	0.611543	0.633362	0.009974
precision	0.633956	0.650943	0.634643	0.640016	0.646438	0.621147	0.642083	0.640070	0.625242	0.636336	0.644901	0.647744	0.646525	0.653466	0.650311	0.620842	0.651066	0.660546	0.650250	0.651001	0.641057	0.655582	0.652641	0.639456	0.624621	0.641151	0.624756	0.651496	0.655479	0.626291	0.643156	0.641457	0.638495	0.637253	0.636700	0.630782	0.642391	0.636139	0.633047	0.643537	0.644035	0.643168	0.625297	0.650819	0.645940	0.647497	0.644358	0.655070	0.640907	0.620655	0.641215	0.010001
f1score	0.627005	0.642928	0.625488	0.627554	0.637701	0.614237	0.636008	0.632993	0.618622	0.632198	0.635533	0.639126	0.641413	0.645740	0.639432	0.614237	0.643013	0.653349	0.641640	0.640770	0.631657	0.648191	0.645396	0.636500	0.619642	0.635760	0.615722	0.643868	0.647075	0.619198	0.639569	0.629277	0.631689	0.625211	0.627224	0.621577	0.631422	0.631025	0.612795	0.636550	0.631025	0.636166	0.614115	0.644343	0.636866	0.637950	0.634150	0.646458	0.631063	0.609936	0.632808	0.010475
mcc	0.261973	0.294843	0.260514	0.269159	0.284765	0.236320	0.278144	0.272153	0.244414	0.268147	0.280622	0.287184	0.287459	0.298630	0.289951	0.235890	0.294387	0.313451	0.292883	0.292755	0.272222	0.303218	0.297407	0.275283	0.243952	0.276712	0.241406	0.295438	0.302292	0.245739	0.282134	0.272313	0.270115	0.264482	0.264489	0.253309	0.274216	0.266485	0.251092	0.279358	0.276907	0.278856	0.240872	0.295285	0.284023	0.285944	0.278540	0.302131	0.272936	0.232019	0.274456	0.019887
spd	0.034347	0.070970	0.062223	0.087045	0.044342	0.039644	0.060622	0.055441	0.120835	0.063912	0.013279	0.049740	0.081808	0.052409	0.065703	0.071488	0.039302	0.070547	0.038057	0.025460	0.050455	0.095679	0.073585	0.083924	0.025351	0.062076	0.023376	0.071155	0.057140	0.050339	0.086706	0.041411	0.047524	0.077121	0.055671	0.056224	0.008325	0.094209	0.025154	0.041451	0.033041	0.024219	0.006806	0.026503	0.059227	0.060616	0.025333	0.052431	0.018640	0.053304	0.052683	0.024183
aod	0.034606	0.028873	0.031659	0.053646	0.003711	0.007497	0.030410	0.031205	0.080656	0.032530	0.030148	0.007931	0.039569	0.029294	0.034920	0.053696	0.071974	0.023130	0.003197	0.042378	0.031454	0.055254	0.035226	0.047679	0.034317	0.028103	0.011181	0.028950	0.033518	0.022977	0.051945	0.014746	0.035823	0.047899	0.023027	0.017686	0.018090	0.056072	0.034914	0.036691	0.007123	0.039802	0.013967	0.003852	0.024182	0.034199	0.007842	0.006433	0.008234	0.033316	0.030311	0.017273
eod	0.028300	0.010000	0.027237	0.032665	0.002060	0.010861	0.041536	0.006728	0.086169	0.015625	0.000632	0.014251	0.054911	0.004384	0.008585	0.008040	0.061129	0.033333	0.005379	0.041831	0.021618	0.054148	0.023732	0.038429	0.030067	0.046311	0.012161	0.055717	0.044258	0.011481	0.054933	0.016483	0.050977	0.005185	0.015925	0.032394	0.015664	0.052661	0.029241	0.007139	0.013568	0.019408	0.005886	0.006981	0.034923	0.010858	0.001650	0.000520	0.009711	0.037070	0.025055	0.019654
