accuracy	0.835631	0.841527	0.835704	0.843001	0.844697	0.845876	0.845286	0.843444	0.843370	0.843149	0.842854	0.842707	0.843075	0.839021	0.842412	0.843001	0.845360	0.845213	0.844328	0.841748	0.843591	0.839685	0.838431	0.839979	0.839906	0.843886	0.846245	0.842633	0.847424	0.838874	0.849488	0.842559	0.842117	0.842412	0.844770	0.842780	0.841011	0.843812	0.843517	0.844992	0.843370	0.840053	0.847276	0.844918	0.845507	0.843812	0.847424	0.840716	0.842117	0.841306	0.842920	0.002745
recall	0.731207	0.739152	0.728283	0.740930	0.743615	0.742992	0.741590	0.738318	0.738237	0.735592	0.737368	0.738461	0.740288	0.735100	0.735225	0.735727	0.739697	0.738742	0.740285	0.737232	0.735765	0.731588	0.730313	0.730304	0.736038	0.740282	0.742745	0.737724	0.745381	0.736167	0.742695	0.736682	0.732851	0.738251	0.742725	0.734137	0.730676	0.745025	0.737395	0.736328	0.740315	0.734369	0.741705	0.741747	0.745244	0.738669	0.741475	0.732172	0.735816	0.735263	0.737758	0.004158
precision	0.802747	0.808054	0.806662	0.809892	0.810438	0.813887	0.813925	0.816760	0.809323	0.810991	0.815761	0.813075	0.813782	0.803676	0.812636	0.812598	0.815806	0.817324	0.811874	0.807145	0.813159	0.807863	0.802171	0.805622	0.809472	0.816920	0.811465	0.810402	0.817292	0.806969	0.821845	0.807075	0.808698	0.805430	0.809245	0.817996	0.811489	0.814621	0.811392	0.817042	0.810142	0.807476	0.817478	0.812761	0.808419	0.808666	0.821277	0.813540	0.814241	0.816794	0.811666	0.004501
f1score	0.755310	0.763193	0.753711	0.765098	0.767428	0.767831	0.766703	0.764500	0.762955	0.761220	0.763492	0.763816	0.765417	0.758898	0.761163	0.761622	0.765632	0.765163	0.765167	0.761552	0.761831	0.757061	0.754811	0.755655	0.760891	0.766125	0.767154	0.762701	0.770547	0.760379	0.769656	0.761200	0.758504	0.762030	0.766496	0.761317	0.757167	0.769310	0.762746	0.763183	0.764722	0.759215	0.767748	0.766538	0.768259	0.763193	0.768336	0.758688	0.761892	0.761804	0.762981	0.003999
mcc	0.529139	0.542851	0.529172	0.546487	0.550009	0.552348	0.550786	0.549507	0.542926	0.541358	0.547546	0.546466	0.549175	0.534394	0.542365	0.542909	0.550265	0.550485	0.547498	0.539869	0.543440	0.534032	0.527613	0.530607	0.540546	0.551907	0.549933	0.543287	0.558059	0.538501	0.558964	0.539181	0.536212	0.539514	0.547946	0.545728	0.536107	0.555301	0.543775	0.547452	0.546011	0.536891	0.554024	0.549942	0.550047	0.542840	0.557064	0.539612	0.544438	0.546003	0.544411	0.007401
spd	0.141802	0.137133	0.143234	0.137392	0.150282	0.146952	0.136413	0.127613	0.137619	0.140101	0.143814	0.143366	0.140737	0.136156	0.136221	0.130517	0.138493	0.131854	0.145361	0.139006	0.137637	0.138091	0.133069	0.129699	0.139997	0.138344	0.140733	0.130884	0.137645	0.144996	0.129412	0.139238	0.131322	0.146889	0.140103	0.135404	0.119872	0.140834	0.133659	0.138180	0.144086	0.138834	0.135066	0.143937	0.145470	0.135620	0.136297	0.130022	0.130026	0.131295	0.137615	0.005824
aod	0.048423	0.033251	0.050433	0.030599	0.054368	0.055095	0.027838	0.029607	0.033768	0.035329	0.052743	0.037611	0.046161	0.032138	0.044518	0.032259	0.039017	0.033864	0.039241	0.040734	0.059858	0.042201	0.037196	0.034547	0.039773	0.034308	0.043031	0.031412	0.025988	0.040656	0.033616	0.042343	0.036737	0.053619	0.046308	0.036453	0.025104	0.027653	0.039439	0.047662	0.041357	0.031134	0.028446	0.046920	0.046044	0.028381	0.039210	0.025056	0.031833	0.042591	0.038718	0.008459
eod	0.042145	0.016633	0.047688	0.009422	0.051748	0.059102	0.005777	0.018601	0.015712	0.018791	0.054107	0.022085	0.049591	0.007215	0.039183	0.019820	0.026443	0.023571	0.025880	0.027498	0.078258	0.032785	0.029047	0.020295	0.030514	0.026593	0.031348	0.016732	0.003126	0.028154	0.025562	0.029110	0.027077	0.053743	0.042840	0.025340	0.013480	0.005121	0.030347	0.044366	0.036123	0.012420	0.009031	0.044565	0.040396	0.005865	0.034859	0.001485	0.016298	0.042674	0.028371	0.016252
