accuracy	0.642355	0.672609	0.657482	0.659643	0.657482	0.658563	0.658023	0.659643	0.676391	0.666667	0.692058	0.670448	0.676931	0.673150	0.680173	0.655321	0.656402	0.662885	0.661804	0.660184	0.666667	0.649379	0.669368	0.666667	0.655321	0.663425	0.633171	0.673150	0.672609	0.670989	0.659103	0.669368	0.662345	0.663965	0.666667	0.653160	0.647218	0.657482	0.660724	0.661264	0.648838	0.668828	0.661804	0.675851	0.654241	0.671529	0.654781	0.662345	0.666126	0.652620	0.662744	0.010091
recall	0.633867	0.665182	0.643394	0.648667	0.646681	0.649368	0.646914	0.647144	0.662738	0.657929	0.677368	0.657235	0.666363	0.662274	0.668714	0.643570	0.643743	0.649034	0.653283	0.646522	0.651054	0.635717	0.651693	0.652962	0.639131	0.646181	0.622960	0.657489	0.659777	0.662688	0.645123	0.657362	0.649141	0.653094	0.651860	0.640289	0.634855	0.641814	0.651815	0.644799	0.639345	0.654356	0.650470	0.668362	0.646095	0.660881	0.632767	0.652998	0.652656	0.640428	0.650363	0.010366
precision	0.646028	0.678212	0.656478	0.661583	0.660068	0.659643	0.658936	0.651960	0.684055	0.663456	0.697429	0.675268	0.675194	0.669603	0.679193	0.659255	0.661189	0.664308	0.667069	0.672848	0.661469	0.646346	0.671131	0.663830	0.652832	0.672593	0.629434	0.684656	0.672874	0.667543	0.657873	0.675662	0.661928	0.671394	0.669974	0.655152	0.643485	0.652769	0.669272	0.656892	0.650112	0.666507	0.660947	0.675860	0.657948	0.672504	0.661024	0.665771	0.674143	0.650886	0.664292	0.011780
f1score	0.630688	0.663224	0.642659	0.647246	0.644857	0.648380	0.645789	0.648259	0.660372	0.658631	0.677052	0.655384	0.667042	0.663209	0.669342	0.640895	0.640696	0.647806	0.650772	0.640415	0.652000	0.635274	0.650600	0.653410	0.638525	0.641679	0.622585	0.653385	0.659664	0.663507	0.644594	0.654900	0.648606	0.649742	0.650166	0.638150	0.634749	0.642162	0.647768	0.645188	0.637668	0.654732	0.650210	0.668535	0.643794	0.660542	0.627609	0.651260	0.649164	0.639892	0.649056	0.010888
mcc	0.279630	0.343147	0.299586	0.309981	0.306456	0.308839	0.305613	0.299065	0.346137	0.321337	0.374259	0.332014	0.341443	0.331796	0.347749	0.302418	0.304433	0.312969	0.320056	0.318284	0.312350	0.281862	0.322238	0.316605	0.291641	0.317679	0.252311	0.341065	0.332392	0.330195	0.302728	0.332521	0.310806	0.323971	0.321324	0.295067	0.278206	0.294379	0.320613	0.301449	0.289257	0.320633	0.311241	0.344140	0.303812	0.333182	0.292429	0.318513	0.326092	0.291127	0.314301	0.021439
spd	0.121659	0.136940	0.171247	0.180818	0.143383	0.157308	0.157820	0.140778	0.179408	0.158272	0.107658	0.171663	0.186703	0.166705	0.173273	0.143225	0.169471	0.118894	0.197599	0.096223	0.164747	0.126726	0.105045	0.143897	0.176132	0.193827	0.150700	0.050834	0.149673	0.156849	0.161476	0.141899	0.140014	0.138090	0.227085	0.152166	0.144078	0.136672	0.195249	0.152989	0.173260	0.153170	0.177473	0.156463	0.127847	0.187216	0.140498	0.124544	0.191872	0.138976	0.153170	0.029605
aod	0.100158	0.113862	0.146808	0.152669	0.124760	0.141665	0.133241	0.124777	0.160543	0.137936	0.089610	0.159789	0.174848	0.146431	0.150359	0.118672	0.139341	0.105788	0.176933	0.074283	0.138817	0.109888	0.074688	0.126319	0.162004	0.178002	0.133420	0.044035	0.124704	0.144366	0.150543	0.115015	0.113283	0.115713	0.209407	0.137055	0.121663	0.116770	0.192513	0.140333	0.156237	0.123882	0.160238	0.132668	0.097846	0.157407	0.131825	0.098685	0.177153	0.120720	0.133553	0.030603
eod	0.063314	0.043914	0.127230	0.117812	0.035334	0.078826	0.073617	0.055664	0.106247	0.082427	0.009819	0.092431	0.099016	0.078164	0.107059	0.073464	0.114598	0.049291	0.137810	0.025500	0.111192	0.087661	0.079045	0.077022	0.110863	0.102262	0.095903	0.019752	0.061643	0.064965	0.085381	0.075740	0.081283	0.053002	0.126557	0.057659	0.084052	0.072053	0.111569	0.089538	0.127405	0.076935	0.102900	0.073650	0.074875	0.106576	0.052238	0.035407	0.115840	0.079680	0.081284	0.029086
