accuracy	0.867340	0.867972	0.862708	0.858286	0.861023	0.864603	0.866077	0.857865	0.864393	0.860813	0.863971	0.862919	0.866288	0.857865	0.872605	0.864393	0.861655	0.869236	0.863971	0.859549	0.858497	0.858286	0.864393	0.859339	0.853864	0.863340	0.863550	0.867340	0.861866	0.863129	0.859128	0.865024	0.874710	0.867762	0.862497	0.855759	0.862076	0.859339	0.862708	0.860181	0.853022	0.867340	0.862076	0.861655	0.864393	0.871131	0.859760	0.867551	0.861655	0.860392	0.862906	0.004347
recall	0.674240	0.679191	0.669612	0.656221	0.669851	0.668287	0.672303	0.659239	0.680272	0.667930	0.671124	0.671028	0.683965	0.662414	0.682986	0.661106	0.680563	0.677382	0.667593	0.678205	0.655641	0.673399	0.674987	0.671600	0.659991	0.677186	0.668213	0.682028	0.669818	0.667072	0.661265	0.667718	0.687231	0.685531	0.677561	0.664045	0.668795	0.662633	0.674697	0.663676	0.659930	0.669410	0.669337	0.677571	0.667703	0.681854	0.661742	0.672260	0.670855	0.668912	0.670923	0.007732
precision	0.785107	0.798440	0.778627	0.782178	0.766042	0.781844	0.777165	0.768999	0.799937	0.769981	0.776427	0.787345	0.790339	0.774204	0.794017	0.790012	0.788037	0.788499	0.770929	0.769859	0.758593	0.770759	0.773232	0.783365	0.765775	0.788764	0.774696	0.781603	0.774087	0.778362	0.777092	0.785840	0.798128	0.776706	0.790173	0.781716	0.778924	0.764275	0.808584	0.772113	0.774606	0.779188	0.780909	0.779789	0.763504	0.779300	0.778796	0.795979	0.786954	0.773968	0.780275	0.010227
f1score	0.707823	0.714477	0.702098	0.689369	0.700051	0.701589	0.704635	0.690550	0.715238	0.698995	0.703244	0.704730	0.717223	0.694251	0.717674	0.695891	0.713331	0.711403	0.699164	0.707866	0.685756	0.703741	0.706147	0.704247	0.690349	0.710614	0.700296	0.714065	0.701471	0.699781	0.693713	0.701698	0.722340	0.716104	0.711073	0.696525	0.701328	0.693138	0.710960	0.695387	0.691360	0.702502	0.702124	0.709303	0.698011	0.713813	0.694470	0.707685	0.704360	0.700480	0.703449	0.008345
mcc	0.445767	0.462506	0.434781	0.419915	0.425147	0.435571	0.437064	0.413933	0.465060	0.425854	0.434987	0.443369	0.462222	0.422064	0.463902	0.432308	0.456109	0.452435	0.426173	0.438589	0.401236	0.433356	0.437319	0.441024	0.412416	0.452394	0.429918	0.452812	0.431486	0.431308	0.422778	0.437906	0.472520	0.453156	0.453975	0.429949	0.433963	0.414631	0.464365	0.422082	0.419132	0.434958	0.436203	0.445791	0.420431	0.450742	0.424703	0.451599	0.442844	0.430239	0.437660	0.015702
spd	0.066402	0.071293	0.060846	0.070005	0.078649	0.083177	0.062399	0.073708	0.089548	0.071936	0.078967	0.083520	0.070984	0.078221	0.072929	0.074871	0.082792	0.071278	0.065820	0.072424	0.088047	0.075023	0.061624	0.069048	0.084661	0.093410	0.076153	0.093303	0.086516	0.080244	0.061806	0.072958	0.081917	0.082652	0.091328	0.072196	0.076428	0.078218	0.074009	0.066890	0.075577	0.074679	0.086378	0.090997	0.089347	0.089684	0.069102	0.077886	0.078007	0.079005	0.077137	0.008553
aod	0.044233	0.038919	0.013320	0.036161	0.058040	0.071791	0.012911	0.049376	0.068117	0.056766	0.063691	0.053140	0.039489	0.048395	0.049338	0.055743	0.060134	0.040065	0.030413	0.031138	0.072704	0.044997	0.031386	0.038586	0.058959	0.086984	0.045719	0.064425	0.059873	0.062423	0.023656	0.042526	0.061030	0.042007	0.062193	0.038413	0.048237	0.044261	0.050779	0.027749	0.038106	0.026772	0.068331	0.064374	0.070569	0.053159	0.048992	0.041619	0.057726	0.043741	0.048829	0.015309
eod	0.071967	0.061086	0.005386	0.051088	0.083145	0.119259	0.005475	0.071509	0.113263	0.098304	0.103918	0.072458	0.064314	0.066008	0.075312	0.085298	0.093509	0.057207	0.039084	0.034999	0.113084	0.064745	0.047814	0.060618	0.089526	0.150139	0.058421	0.098511	0.082135	0.098559	0.029630	0.053592	0.109305	0.048412	0.091401	0.053078	0.073043	0.056019	0.085865	0.029522	0.050696	0.021054	0.106236	0.098730	0.109578	0.067127	0.078867	0.050733	0.095133	0.055378	0.071991	0.029639
