accuracy	0.904122	0.901279	0.900295	0.900405	0.902700	0.903356	0.906636	0.901170	0.902154	0.901388	0.900623	0.904559	0.899530	0.905105	0.900405	0.900186	0.900732	0.902482	0.903138	0.901060	0.895922	0.900514	0.902482	0.899530	0.903684	0.904012	0.896906	0.902700	0.904450	0.900186	0.903466	0.909151	0.898327	0.900623	0.902919	0.896797	0.900732	0.899967	0.900514	0.903028	0.901388	0.905324	0.901607	0.904450	0.903903	0.900514	0.902154	0.902810	0.903138	0.901060	0.901872	0.002402
recall	0.726559	0.724826	0.709285	0.723858	0.709668	0.726942	0.727853	0.716623	0.726051	0.717251	0.726474	0.716122	0.724928	0.714074	0.720505	0.715045	0.718737	0.722529	0.721163	0.716338	0.705343	0.720201	0.726443	0.720472	0.724807	0.725945	0.704926	0.722000	0.730046	0.716003	0.720902	0.729452	0.714584	0.725049	0.721796	0.706215	0.714223	0.710881	0.719969	0.711078	0.712198	0.731600	0.722526	0.725305	0.726567	0.719384	0.723925	0.715355	0.719566	0.716818	0.719768	0.006554
precision	0.790818	0.789057	0.790033	0.791002	0.787709	0.788426	0.805119	0.790963	0.787298	0.801122	0.787759	0.798235	0.788538	0.791838	0.780800	0.788333	0.781921	0.785512	0.789495	0.786659	0.773818	0.794405	0.785433	0.795243	0.801469	0.792263	0.774089	0.781535	0.791688	0.788277	0.791685	0.794120	0.785442	0.785582	0.792657	0.779920	0.779582	0.786662	0.782417	0.794963	0.789090	0.790111	0.792968	0.793031	0.791095	0.785041	0.784456	0.791751	0.796077	0.788480	0.789080	0.006126
f1score	0.752862	0.751005	0.740129	0.750931	0.739855	0.752308	0.758384	0.745814	0.751291	0.749237	0.751688	0.747736	0.750851	0.744392	0.745300	0.743846	0.744464	0.748302	0.748662	0.744295	0.732317	0.749397	0.750938	0.749803	0.754969	0.752907	0.732135	0.746625	0.755538	0.744518	0.749178	0.756085	0.742567	0.749993	0.750093	0.734800	0.740573	0.740320	0.745468	0.742988	0.742055	0.756069	0.750657	0.752726	0.752952	0.745912	0.748896	0.745200	0.749552	0.745196	0.747436	0.005728
mcc	0.513371	0.509853	0.492745	0.510464	0.491216	0.511688	0.527341	0.502113	0.509683	0.511543	0.510568	0.507761	0.509511	0.499899	0.497666	0.498015	0.496656	0.504121	0.506066	0.498058	0.474243	0.509228	0.508465	0.510266	0.520662	0.513946	0.473996	0.500003	0.518080	0.499074	0.507676	0.519563	0.494980	0.507031	0.509549	0.480515	0.489461	0.491738	0.498489	0.499040	0.495356	0.518420	0.510658	0.513892	0.513625	0.500134	0.504764	0.501318	0.509936	0.500191	0.504053	0.010814
spd	0.081671	0.087883	0.075363	0.064116	0.082498	0.091516	0.050436	0.098062	0.079041	0.069729	0.065891	0.064854	0.083008	0.091523	0.086406	0.073286	0.083822	0.050976	0.111237	0.071491	0.047144	0.074842	0.109905	0.052675	0.058489	0.082840	0.055907	0.078349	0.117391	0.080304	0.057449	0.062045	0.088787	0.035703	0.078286	0.062514	0.052254	0.078455	0.080471	0.081162	0.077276	0.084625	0.026286	0.086615	0.075788	0.058792	0.079534	0.053464	0.084105	0.072982	0.073945	0.017810
aod	0.069341	0.032572	0.049236	0.032948	0.060727	0.025428	0.024238	0.046805	0.057904	0.019429	0.052403	0.023039	0.022677	0.041340	0.051553	0.072914	0.061174	0.007867	0.079801	0.068836	0.029727	0.055255	0.075148	0.007758	0.033789	0.031221	0.034314	0.036196	0.058133	0.050469	0.013232	0.064689	0.068992	0.020976	0.049829	0.023755	0.019890	0.043477	0.075320	0.018558	0.005569	0.050457	0.077751	0.033991	0.032447	0.020753	0.035953	0.009801	0.059223	0.029886	0.041336	0.020644
eod	0.099218	0.029716	0.069186	0.042731	0.101692	0.008396	0.027037	0.032727	0.078811	0.007980	0.060012	0.016549	0.011566	0.057172	0.073105	0.135651	0.089566	0.001160	0.097940	0.115455	0.028899	0.066316	0.096320	0.009987	0.049035	0.006807	0.035134	0.046594	0.076473	0.069199	0.023148	0.105325	0.092856	0.035262	0.087753	0.024851	0.035080	0.069280	0.108834	0.012461	0.008577	0.063280	0.137474	0.031509	0.030555	0.014545	0.015837	0.007654	0.085872	0.025458	0.053121	0.037175
