accuracy	0.900842	0.899093	0.898765	0.897015	0.900514	0.898437	0.901498	0.902044	0.899967	0.897781	0.898109	0.903247	0.893080	0.902372	0.894829	0.896141	0.898437	0.900951	0.897343	0.898546	0.897125	0.896031	0.898327	0.894610	0.898109	0.898655	0.896906	0.897890	0.899639	0.897999	0.899858	0.906199	0.895266	0.899639	0.899311	0.897015	0.900077	0.899530	0.898437	0.902482	0.898874	0.901388	0.900514	0.902810	0.899421	0.900514	0.899967	0.898874	0.897453	0.897015	0.898979	0.002379
recall	0.689180	0.684027	0.686370	0.683445	0.677055	0.681916	0.688212	0.694742	0.683064	0.680759	0.682089	0.689097	0.683268	0.683431	0.677906	0.680505	0.682068	0.685317	0.675637	0.684003	0.674346	0.676532	0.676953	0.685672	0.680011	0.672210	0.673218	0.677984	0.682490	0.688779	0.683143	0.689409	0.685754	0.694336	0.688559	0.668089	0.681056	0.688110	0.687008	0.684946	0.679831	0.681491	0.690270	0.693460	0.687144	0.690127	0.681504	0.682358	0.681643	0.671632	0.683003	0.005807
precision	0.792315	0.797843	0.793824	0.794824	0.792416	0.785275	0.802754	0.805240	0.796202	0.805382	0.796401	0.806473	0.778541	0.793187	0.772204	0.785579	0.785944	0.794065	0.783019	0.789221	0.791225	0.796346	0.787124	0.790688	0.800006	0.792968	0.785969	0.776314	0.791070	0.790487	0.792552	0.798232	0.784207	0.793464	0.791636	0.799196	0.789328	0.794700	0.785879	0.806374	0.792580	0.794019	0.803773	0.800169	0.788146	0.797201	0.792032	0.788979	0.788571	0.791001	0.792499	0.007241
f1score	0.725041	0.721808	0.722902	0.720510	0.714827	0.717275	0.726595	0.732644	0.720719	0.720342	0.719770	0.728280	0.716490	0.720578	0.710749	0.715991	0.717550	0.722243	0.711416	0.719897	0.711937	0.714741	0.713475	0.721313	0.718689	0.710523	0.709900	0.711957	0.719116	0.724090	0.720003	0.726971	0.719979	0.729415	0.724267	0.707751	0.717565	0.724603	0.721606	0.724637	0.717113	0.719037	0.728466	0.730498	0.722311	0.726908	0.718514	0.718492	0.717695	0.709490	0.719734	0.005785
mcc	0.470320	0.468235	0.468017	0.465119	0.455077	0.455614	0.477417	0.487619	0.465721	0.469895	0.464634	0.481469	0.451874	0.463809	0.440121	0.454085	0.456338	0.466884	0.445909	0.461378	0.450662	0.457447	0.450810	0.464641	0.464776	0.449230	0.445129	0.443528	0.460945	0.468349	0.462943	0.475343	0.459533	0.477622	0.469002	0.448516	0.457754	0.470897	0.462435	0.476078	0.458758	0.462004	0.480827	0.481957	0.464434	0.475420	0.460456	0.459119	0.457895	0.446968	0.462660	0.010786
spd	0.025288	0.045131	0.023598	0.020321	0.032646	0.026799	0.007596	0.033055	0.005566	0.001198	0.004879	0.016822	0.028428	0.028043	0.049496	0.026241	0.022201	0.024554	0.059559	0.010926	0.014825	0.001033	0.045046	0.039734	0.001973	0.026112	0.013085	0.012549	0.058517	0.027975	0.042454	0.001526	0.023931	0.015549	0.040828	0.010583	0.028666	0.027336	0.006753	0.027594	0.030735	0.040287	0.001194	0.026725	0.007108	0.006767	0.009374	0.022436	0.037705	0.028872	0.023392	0.014903
aod	0.005254	0.015987	0.043174	0.011742	0.028897	0.029084	0.067139	0.034949	0.042472	0.071061	0.070614	0.025236	0.019620	0.032634	0.011233	0.005586	0.045204	0.013396	0.016808	0.032564	0.013580	0.045862	0.051667	0.014183	0.066268	0.041450	0.024889	0.052835	0.006145	0.015722	0.017477	0.031186	0.018211	0.046037	0.000825	0.051444	0.008162	0.045982	0.075804	0.043036	0.050614	0.027474	0.077055	0.044480	0.067091	0.069311	0.048301	0.020080	0.017554	0.045395	0.035215	0.021024
eod	0.007892	0.025333	0.078117	0.008655	0.050125	0.047970	0.131313	0.060625	0.076143	0.131191	0.141035	0.040120	0.026246	0.053576	0.005761	0.006767	0.082179	0.012755	0.000487	0.060000	0.021126	0.083333	0.089116	0.018481	0.111030	0.070278	0.036633	0.101174	0.004738	0.030067	0.028439	0.050158	0.034603	0.090196	0.000545	0.102192	0.011709	0.086804	0.139913	0.080000	0.094955	0.051167	0.151717	0.085962	0.118855	0.123636	0.093312	0.031584	0.023295	0.082234	0.061871	0.042552
